num_target;      la; isd;  niter;     tex; tr_acc; te_acc;        L*;
         1;  0.0000;   1;      2;  9.4818;  100.0;  100.0;  9.22e-04;
         1;  0.0000;   2;      2; 16.2271;   53.6;    8.4;  4.64e-01;
         1;  0.0100;   1;      2;  6.7939;  100.0;  100.0;  2.44e-02;
         1;  0.0100;   2;      0;  0.6786;  100.0;  100.0;  2.44e-02;
         1;  0.1000;   1;      2;  1.0276;  100.0;  100.0;  9.16e-02;
         1;  0.1000;   2;      0;  0.1033;  100.0;  100.0;  9.16e-02;
         2;  0.0000;   1;      2;  8.3662;   99.6;   98.4;  4.78e-03;
         2;  0.0000;   2;      2; 15.6860;   51.6;   10.4;  4.84e-01;
         2;  0.0100;   1;      2;  7.1085;   99.2;   98.8;  4.83e-02;
         2;  0.0100;   2;      0;  0.2344;   99.2;   98.8;  4.83e-02;
         2;  0.1000;   1;      2;  1.4858;   95.2;   90.4;  1.24e-01;
         2;  0.1000;   2;      0;  0.0973;   95.2;   90.4;  1.24e-01;
         3;  0.0000;   1;      2; 11.9321;   99.6;   97.6;  8.30e-03;
         3;  0.0000;   2;      2; 18.6317;   54.8;   10.0;  4.52e-01;
         3;  0.0100;   1;      2;  7.7372;   99.2;   98.8;  6.53e-02;
         3;  0.0100;   2;      0;  1.2732;   99.2;   98.8;  6.53e-02;
         3;  0.1000;   1;      2;  0.6764;   93.2;   88.4;  1.53e-01;
         3;  0.1000;   2;      0;  0.1108;   93.2;   88.4;  1.53e-01;
         4;  0.0000;   1;      2;  9.0016;  100.0;  100.0;  5.40e-04;
         4;  0.0000;   2;      2; 17.2609;   56.0;   10.0;  4.40e-01;
         4;  0.0100;   1;      2;  6.9065;  100.0;  100.0;  2.40e-02;
         4;  0.0100;   2;      0;  0.2131;  100.0;  100.0;  2.40e-02;
         4;  0.1000;   1;      2;  1.6412;  100.0;  100.0;  8.84e-02;
         4;  0.1000;   2;      0;  0.1025;  100.0;  100.0;  8.84e-02;
         5;  0.0000;   1;      2;  8.2777;  100.0;   98.8;  7.78e-04;
         5;  0.0000;   2;      2; 16.3826;   53.2;   10.0;  4.68e-01;
         5;  0.0100;   1;      2;  8.7034;  100.0;   99.6;  3.14e-02;
         5;  0.0100;   2;      0;  0.2628;  100.0;   99.6;  3.14e-02;
         5;  0.1000;   1;      2;  1.5906;  100.0;   98.8;  1.08e-01;
         5;  0.1000;   2;      2;  0.1167;  100.0;   98.8;  1.08e-01;
         6;  0.0000;   1;      2; 10.7498;  100.0;   98.8;  2.73e-03;
         6;  0.0000;   2;      2; 26.9697;   55.6;   10.8;  4.44e-01;
         6;  0.0100;   1;      2; 10.1940;  100.0;   99.2;  4.36e-02;
         6;  0.0100;   2;      0;  0.3213;  100.0;   99.2;  4.36e-02;
         6;  0.1000;   1;      2;  1.6510;  100.0;   98.4;  1.28e-01;
         6;  0.1000;   2;      0;  0.1404;  100.0;   98.4;  1.28e-01;
         7;  0.0000;   1;      2; 10.6030;  100.0;  100.0;  1.20e-03;
         7;  0.0000;   2;      2; 16.9632;   53.2;   10.4;  4.68e-01;
         7;  0.0100;   1;      2;  8.1530;  100.0;  100.0;  2.90e-02;
         7;  0.0100;   2;      0;  0.2228;  100.0;  100.0;  2.90e-02;
         7;  0.1000;   1;      2;  1.5314;   98.4;   94.8;  9.57e-02;
         7;  0.1000;   2;      0;  0.0889;   98.4;   94.8;  9.57e-02;
         8;  0.0000;   1;      2; 11.0328;   99.2;   94.4;  1.39e-02;
         8;  0.0000;   2;      2; 18.6845;   52.0;    8.0;  4.80e-01;
         8;  0.0100;   1;      2;  8.3242;   98.8;   94.8;  8.14e-02;
         8;  0.0100;   2;      0;  1.3507;   98.8;   94.8;  8.14e-02;
         8;  0.1000;   1;      2;  0.6354;   88.4;   78.8;  1.69e-01;
         8;  0.1000;   2;      0;  0.1183;   88.4;   78.8;  1.69e-01;
         9;  0.0000;   1;      2;  9.8899;  100.0;   98.8;  7.21e-03;
         9;  0.0000;   2;      2; 16.9802;   52.4;    9.6;  4.76e-01;
         9;  0.0100;   1;      2;  8.1439;   99.6;   98.4;  6.15e-02;
         9;  0.0100;   2;      0;  0.2762;   99.6;   98.4;  6.15e-02;
         9;  0.1000;   1;      2;  1.5091;   96.4;   92.4;  1.51e-01;
         9;  0.1000;   2;      0;  0.0928;   96.4;   92.4;  1.51e-01;
         0;  0.0000;   1;      2;  8.7020;  100.0;   99.6;  3.35e-03;
         0;  0.0000;   2;      2; 17.0510;   53.2;   12.4;  4.68e-01;
         0;  0.0100;   1;      2;  8.0976;   99.6;   99.6;  5.08e-02;
         0;  0.0100;   2;      0;  0.2223;   99.6;   99.6;  5.08e-02;
         0;  0.1000;   1;      2;  1.4864;  100.0;   98.0;  1.40e-01;
         0;  0.1000;   2;      0;  0.1080;  100.0;   98.0;  1.40e-01;
